,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,gender,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
55,Unknown,6.0,,new car,783.0,Unknown,Medium,1.0,Male,guarantor,2.0,real estate,26.0,stores,own,1.0,Unqualified,2.0,none,yes,good
56,Medium,12.0,,radio/tv,6468.0,Unknown,,2.0,Male,none,1.0,no known property,52.0,none,own,1.0,High Qualified,1.0,yes,yes,bad
57,Unknown,36.0,,radio/tv,9566.0,Very Low,Medium,2.0,Female,none,2.0,car,31.0,stores,own,2.0,Qualified,1.0,none,yes,good
58,High,18.0,,new car,1961.0,Very Low,Very Long,3.0,Female,none,2.0,car,23.0,none,own,1.0,High Qualified,1.0,none,yes,good
59,Low,36.0,,furniture/equipment,6229.0,Very Low,Short,4.0,Female,co applicant,4.0,no known property,23.0,none,rent,2.0,Unqualified,1.0,yes,yes,bad
60,Medium,9.0,,business,1391.0,Very Low,Medium,2.0,Male,none,1.0,real estate,27.0,bank,own,1.0,Qualified,1.0,yes,yes,good
61,Medium,15.0,,radio/tv,1537.0,Unknown,Very Long,4.0,Male,guarantor,4.0,real estate,50.0,none,own,2.0,Qualified,1.0,yes,yes,good
62,Medium,36.0,no credits,business,1953.0,Very Low,Very Long,4.0,Male,none,4.0,no known property,61.0,none,for free,1.0,High Qualified,1.0,yes,yes,bad
63,Medium,48.0,no credits,business,14421.0,Very Low,Medium,2.0,Male,none,2.0,car,25.0,none,own,1.0,Qualified,1.0,yes,yes,bad
64,Unknown,24.0,,radio/tv,3181.0,Very Low,Short,4.0,Female,none,4.0,life insurance,26.0,none,own,1.0,Qualified,1.0,yes,yes,good
65,Unknown,27.0,,repairs,5190.0,Unknown,Very Long,4.0,Male,none,4.0,life insurance,48.0,none,own,4.0,Qualified,2.0,yes,yes,good
66,Unknown,12.0,,radio/tv,2171.0,Very Low,Short,2.0,Female,none,2.0,car,29.0,bank,own,1.0,Qualified,1.0,none,yes,good
67,Medium,12.0,,new car,1007.0,High,Medium,4.0,Male,none,1.0,real estate,22.0,none,own,1.0,Qualified,1.0,none,yes,good
68,Unknown,36.0,,education,1819.0,Very Low,Medium,4.0,Male,none,4.0,no known property,37.0,stores,for free,1.0,Qualified,1.0,yes,yes,bad
69,Unknown,36.0,,radio/tv,2394.0,Unknown,Medium,4.0,Female,none,4.0,car,25.0,none,own,1.0,Qualified,1.0,none,yes,good
70,Unknown,36.0,,used car,8133.0,Very Low,Medium,1.0,Female,none,2.0,life insurance,30.0,bank,own,1.0,Qualified,1.0,none,yes,good
71,Unknown,7.0,,radio/tv,730.0,Unknown,Very Long,4.0,Male,none,2.0,life insurance,46.0,none,rent,2.0,Unqualified,1.0,yes,yes,good
72,Low,8.0,,other,1164.0,Very Low,Very Long,3.0,Male,none,4.0,no known property,51.0,bank,for free,2.0,High Qualified,2.0,yes,yes,good
73,Medium,42.0,,business,5954.0,Very Low,Long,2.0,Female,none,1.0,real estate,41.0,bank,own,2.0,Unqualified,1.0,none,yes,good
74,Low,36.0,,education,1977.0,Unknown,Very Long,4.0,Male,none,4.0,no known property,40.0,none,own,1.0,High Qualified,1.0,yes,yes,bad
75,Low,12.0,,used car,1526.0,Very Low,Very Long,4.0,Male,none,4.0,no known property,66.0,none,for free,2.0,High Qualified,1.0,none,yes,good
76,Low,42.0,,radio/tv,3965.0,Very Low,Short,4.0,Male,none,3.0,car,34.0,none,own,1.0,Qualified,1.0,none,yes,bad
77,Medium,11.0,,radio/tv,4771.0,Very Low,Long,2.0,Male,none,4.0,life insurance,51.0,none,own,1.0,Qualified,1.0,none,yes,good
78,Unknown,54.0,no credits,used car,9436.0,Unknown,Medium,2.0,Male,none,2.0,life insurance,39.0,none,own,1.0,Unqualified,2.0,none,yes,good
79,Medium,30.0,,furniture/equipment,3832.0,Very Low,Short,2.0,Male,none,1.0,life insurance,22.0,none,own,1.0,Qualified,1.0,none,yes,good
80,Unknown,24.0,,radio/tv,5943.0,Unknown,Short,1.0,Female,none,1.0,car,44.0,none,own,2.0,Qualified,1.0,yes,yes,bad
81,Unknown,15.0,,radio/tv,1213.0,Medium,Very Long,4.0,Male,none,3.0,life insurance,47.0,stores,own,1.0,Qualified,1.0,yes,yes,good
82,Unknown,18.0,,business,1568.0,Low,Medium,3.0,Female,none,4.0,life insurance,24.0,none,rent,1.0,Unqualified,1.0,none,yes,good
83,Low,24.0,,other,1755.0,Very Low,Very Long,4.0,Female,guarantor,4.0,real estate,58.0,none,own,1.0,Unqualified,1.0,yes,yes,good
84,Low,10.0,,radio/tv,2315.0,Very Low,Very Long,3.0,Male,none,4.0,real estate,52.0,none,own,1.0,Unqualified,1.0,none,yes,good
85,Unknown,12.0,,business,1412.0,Very Low,Medium,4.0,Female,guarantor,2.0,real estate,29.0,none,own,2.0,High Qualified,1.0,yes,yes,good
86,Medium,18.0,,furniture/equipment,1295.0,Very Low,Short,4.0,Female,none,1.0,life insurance,27.0,none,own,2.0,Qualified,1.0,none,yes,good
87,Medium,36.0,,education,12612.0,Low,Medium,1.0,Male,none,4.0,no known property,47.0,none,for free,1.0,Qualified,2.0,yes,yes,bad
88,Low,18.0,,new car,2249.0,Low,Long,4.0,Male,none,3.0,car,30.0,none,own,1.0,High Qualified,2.0,yes,yes,good
89,Low,12.0,no credits,repairs,1108.0,Very Low,Long,4.0,Male,none,3.0,real estate,28.0,none,own,2.0,Qualified,1.0,none,yes,bad
90,Unknown,12.0,,radio/tv,618.0,Very Low,Very Long,4.0,Male,none,4.0,real estate,56.0,none,own,1.0,Qualified,1.0,none,yes,good
91,Low,12.0,,used car,1409.0,Very Low,Very Long,4.0,Male,none,3.0,real estate,54.0,none,own,1.0,Qualified,1.0,none,yes,good
92,Unknown,12.0,,radio/tv,797.0,Unknown,Very Long,4.0,Female,none,3.0,life insurance,33.0,bank,own,1.0,Unqualified,2.0,none,yes,bad
93,High,24.0,,furniture/equipment,3617.0,Unknown,Very Long,4.0,Male,co applicant,4.0,no known property,20.0,none,rent,2.0,Qualified,1.0,none,yes,good
94,Medium,12.0,,new car,1318.0,High,Very Long,4.0,Male,none,4.0,real estate,54.0,none,own,1.0,Qualified,1.0,yes,yes,good
95,Medium,54.0,no credits,business,15945.0,Very Low,Short,3.0,Male,none,4.0,no known property,58.0,none,rent,1.0,Qualified,1.0,yes,yes,bad
96,Unknown,12.0,,education,2012.0,Unknown,Long,4.0,Female,none,2.0,car,61.0,none,own,1.0,Qualified,1.0,none,yes,good
97,Medium,18.0,,business,2622.0,Low,Medium,4.0,Male,none,4.0,car,34.0,none,own,1.0,Qualified,1.0,none,yes,good
98,Medium,36.0,,radio/tv,2337.0,Very Low,Very Long,4.0,Male,none,4.0,real estate,36.0,none,own,1.0,Qualified,1.0,none,yes,good
99,Medium,20.0,,used car,7057.0,Unknown,Long,3.0,Male,none,4.0,life insurance,36.0,bank,rent,2.0,High Qualified,2.0,yes,yes,good
100,Unknown,24.0,,new car,1469.0,Low,Very Long,4.0,Male,none,4.0,real estate,41.0,none,rent,1.0,Unqualified,1.0,none,yes,good
101,Medium,36.0,,radio/tv,2323.0,Very Low,Long,4.0,Male,none,4.0,car,24.0,none,rent,1.0,Qualified,1.0,none,yes,good
102,Unknown,6.0,,radio/tv,932.0,Very Low,Medium,3.0,Female,none,2.0,real estate,24.0,none,own,1.0,Qualified,1.0,none,yes,good
103,Medium,9.0,,furniture/equipment,1919.0,Very Low,Long,4.0,Male,none,3.0,car,35.0,none,rent,1.0,Qualified,1.0,yes,yes,good
104,Unknown,12.0,,used car,2445.0,Unknown,Short,2.0,Male,none,4.0,car,26.0,none,rent,1.0,Qualified,1.0,yes,yes,good
105,Medium,24.0,,other,11938.0,Very Low,Medium,2.0,Male,co applicant,3.0,car,39.0,none,own,2.0,High Qualified,2.0,yes,yes,bad
106,Unknown,18.0,,new car,6458.0,Very Low,Very Long,2.0,Male,none,4.0,no known property,39.0,bank,own,2.0,High Qualified,2.0,yes,yes,bad
107,Medium,12.0,,new car,6078.0,Very Low,Long,2.0,Male,none,2.0,car,32.0,none,own,1.0,Qualified,1.0,none,yes,good
108,Low,24.0,,furniture/equipment,7721.0,Unknown,Short,1.0,Female,none,2.0,life insurance,30.0,none,own,1.0,Qualified,1.0,yes,no,good
109,Medium,14.0,,business,1410.0,Medium,Very Long,1.0,Male,none,2.0,real estate,35.0,none,own,1.0,Qualified,1.0,yes,yes,good
110,Medium,6.0,,business,1449.0,Low,Very Long,1.0,Male,none,2.0,car,31.0,bank,own,2.0,Qualified,2.0,none,yes,good
111,High,15.0,,education,392.0,Very Low,Short,4.0,Female,none,4.0,life insurance,23.0,none,rent,1.0,Qualified,1.0,yes,yes,good
112,Medium,18.0,,new car,6260.0,Very Low,Long,3.0,Male,none,3.0,real estate,28.0,none,rent,1.0,Unqualified,1.0,none,yes,good
113,Unknown,36.0,,new car,7855.0,Very Low,Medium,4.0,Female,none,2.0,real estate,25.0,stores,own,2.0,Qualified,1.0,yes,yes,bad
114,Low,12.0,,radio/tv,1680.0,Medium,Very Long,3.0,Male,none,1.0,real estate,35.0,none,own,1.0,Qualified,1.0,none,yes,good
115,Unknown,48.0,,radio/tv,3578.0,Unknown,Very Long,4.0,Male,none,1.0,real estate,47.0,none,own,1.0,Qualified,1.0,yes,yes,good
116,Low,42.0,,radio/tv,7174.0,Unknown,Long,4.0,Female,none,3.0,car,30.0,none,own,1.0,High Qualified,1.0,yes,yes,bad
117,Low,10.0,,furniture/equipment,2132.0,Unknown,Short,2.0,Female,co applicant,3.0,real estate,27.0,none,rent,2.0,Qualified,1.0,none,no,good
118,Low,33.0,,furniture/equipment,4281.0,Medium,Medium,1.0,Female,none,4.0,car,23.0,none,own,2.0,Qualified,1.0,none,yes,bad
119,Medium,12.0,,new car,2366.0,Medium,Long,3.0,Male,none,3.0,car,36.0,none,own,1.0,High Qualified,1.0,yes,yes,good
120,Low,21.0,,radio/tv,1835.0,Very Low,Medium,3.0,Female,none,2.0,real estate,25.0,none,own,2.0,Qualified,1.0,yes,yes,bad
121,Unknown,24.0,,used car,3868.0,Very Low,Very Long,4.0,Female,none,2.0,car,41.0,none,rent,2.0,High Qualified,1.0,yes,yes,good
122,Unknown,12.0,,furniture/equipment,1768.0,Very Low,Medium,3.0,Male,none,2.0,real estate,24.0,none,rent,1.0,Unqualified,1.0,none,yes,good
123,High,10.0,,new car,781.0,Very Low,Very Long,4.0,Male,none,4.0,no known property,63.0,none,for free,2.0,Qualified,1.0,yes,yes,good
124,Medium,18.0,,furniture/equipment,1924.0,Unknown,Short,4.0,Female,none,3.0,real estate,27.0,none,rent,1.0,Qualified,1.0,none,yes,bad
125,Low,12.0,,new car,2121.0,Very Low,Medium,4.0,Male,none,2.0,life insurance,30.0,none,own,2.0,Qualified,1.0,none,yes,good
126,Low,12.0,,radio/tv,701.0,Very Low,Medium,4.0,Male,none,2.0,real estate,40.0,none,own,1.0,Unqualified,1.0,none,yes,good
127,Medium,12.0,,repairs,639.0,Very Low,Medium,4.0,Male,none,2.0,car,30.0,none,own,1.0,Qualified,1.0,none,yes,bad
128,Medium,12.0,,used car,1860.0,Very Low,,4.0,Male,none,2.0,car,34.0,none,own,2.0,High Qualified,1.0,yes,yes,good
129,Low,12.0,,new car,3499.0,Very Low,Medium,3.0,Female,co applicant,2.0,real estate,29.0,none,own,2.0,Qualified,1.0,none,yes,bad
130,Medium,48.0,,new car,8487.0,Unknown,Long,1.0,Female,none,2.0,car,24.0,none,own,1.0,Qualified,1.0,none,yes,good
131,Low,36.0,,education,6887.0,Very Low,Medium,4.0,Male,none,3.0,life insurance,29.0,stores,own,1.0,Qualified,1.0,yes,yes,bad
132,Unknown,15.0,,furniture/equipment,2708.0,Very Low,Short,2.0,Male,none,3.0,life insurance,27.0,bank,own,2.0,Unqualified,1.0,none,yes,good
133,Unknown,18.0,,furniture/equipment,1984.0,Very Low,Medium,4.0,Male,none,4.0,no known property,47.0,bank,for free,2.0,Qualified,1.0,none,yes,good
134,Unknown,60.0,,radio/tv,10144.0,Low,Long,2.0,Female,none,4.0,real estate,21.0,none,own,1.0,Qualified,1.0,yes,yes,good
135,Unknown,12.0,,radio/tv,1240.0,Unknown,Very Long,4.0,Female,none,2.0,real estate,38.0,none,own,2.0,Qualified,1.0,yes,yes,good
136,Unknown,27.0,,used car,8613.0,High,Medium,2.0,Male,none,2.0,car,27.0,none,own,2.0,Qualified,1.0,none,yes,good
137,Medium,12.0,,radio/tv,766.0,Medium,Medium,4.0,Male,none,3.0,real estate,66.0,none,own,1.0,Unqualified,1.0,none,yes,bad
138,Medium,15.0,,radio/tv,2728.0,Unknown,Long,4.0,Male,guarantor,2.0,real estate,35.0,bank,own,3.0,Qualified,1.0,yes,yes,good
139,High,12.0,,radio/tv,1881.0,Very Low,Medium,2.0,Female,none,2.0,car,44.0,none,rent,1.0,Unqualified,1.0,yes,yes,good
140,High,6.0,,new car,709.0,High,Short,2.0,Male,none,2.0,real estate,27.0,none,own,1.0,Unemployed,1.0,none,no,good
141,Medium,36.0,,radio/tv,4795.0,Very Low,Short,4.0,Female,none,1.0,no known property,30.0,none,own,1.0,High Qualified,1.0,yes,yes,good
142,Low,27.0,,radio/tv,3416.0,Very Low,Medium,3.0,Male,none,2.0,car,27.0,none,own,1.0,High Qualified,1.0,none,yes,good
143,Low,18.0,,furniture/equipment,2462.0,Very Low,Medium,2.0,Male,none,2.0,car,22.0,none,own,1.0,Qualified,1.0,none,yes,bad
144,Unknown,21.0,,furniture/equipment,2288.0,Very Low,Short,4.0,Female,none,4.0,life insurance,23.0,none,own,1.0,Qualified,1.0,yes,yes,good
145,Medium,48.0,,business,3566.0,Low,Long,4.0,Male,none,2.0,car,30.0,none,own,1.0,Qualified,1.0,none,yes,good
146,Low,6.0,,new car,860.0,Very Low,Very Long,1.0,Female,none,4.0,no known property,39.0,none,own,2.0,Qualified,1.0,yes,yes,good
147,Unknown,12.0,,new car,682.0,Low,Long,4.0,Female,none,3.0,car,51.0,none,own,2.0,Qualified,1.0,yes,yes,good
148,Low,36.0,,furniture/equipment,5371.0,Very Low,Medium,3.0,Male,guarantor,2.0,life insurance,28.0,none,own,2.0,Qualified,1.0,none,yes,good
149,Unknown,18.0,,radio/tv,1582.0,High,Very Long,4.0,Male,none,4.0,car,46.0,none,own,2.0,Qualified,1.0,none,yes,good
150,Unknown,6.0,,radio/tv,1346.0,Low,Very Long,2.0,Male,none,4.0,no known property,42.0,bank,for free,1.0,Qualified,2.0,yes,yes,good
151,Unknown,10.0,,radio/tv,1924.0,Very Low,Medium,1.0,Male,none,4.0,life insurance,38.0,none,own,1.0,Qualified,1.0,yes,no,good
152,High,36.0,,radio/tv,5848.0,Very Low,Medium,4.0,Male,none,1.0,car,24.0,none,own,1.0,Qualified,1.0,none,yes,good
153,Medium,24.0,,used car,7758.0,High,Very Long,2.0,Female,none,4.0,no known property,29.0,none,rent,1.0,Qualified,1.0,none,yes,good
154,Medium,24.0,,business,6967.0,Low,Long,4.0,Male,none,4.0,car,36.0,none,rent,1.0,High Qualified,1.0,yes,yes,good
155,Low,12.0,,furniture/equipment,1282.0,Very Low,Medium,2.0,Female,none,4.0,car,20.0,none,rent,1.0,Qualified,1.0,none,yes,bad
156,Low,9.0,,repairs,1288.0,Low,Very Long,3.0,Male,guarantor,4.0,real estate,48.0,none,own,2.0,Qualified,2.0,none,no,good
157,Low,12.0,,retraining,339.0,Very Low,Very Long,4.0,Male,none,1.0,car,45.0,bank,own,1.0,Unqualified,1.0,none,yes,good
158,Medium,24.0,,new car,3512.0,Low,Long,2.0,Male,none,3.0,car,38.0,bank,own,2.0,Qualified,1.0,yes,yes,good
159,Unknown,6.0,,radio/tv,1898.0,Unknown,Medium,1.0,Male,none,2.0,real estate,34.0,none,own,2.0,Unqualified,2.0,none,yes,good
160,Unknown,24.0,,radio/tv,2872.0,Low,Very Long,3.0,Male,none,4.0,real estate,36.0,none,own,1.0,Qualified,2.0,yes,yes,good
161,Unknown,18.0,,new car,1055.0,Very Low,Short,4.0,Female,none,1.0,life insurance,30.0,none,own,2.0,Qualified,1.0,none,yes,good
162,Unknown,15.0,,domestic appliance,1262.0,Medium,Long,4.0,Male,none,3.0,life insurance,36.0,none,own,2.0,Qualified,1.0,yes,yes,good
163,Medium,10.0,,new car,7308.0,Very Low,,2.0,Male,none,4.0,no known property,70.0,bank,for free,1.0,High Qualified,1.0,yes,yes,good
164,Unknown,36.0,,new car,909.0,Medium,Very Long,4.0,Male,none,4.0,life insurance,36.0,none,own,1.0,Qualified,1.0,none,yes,good
165,Unknown,6.0,,furniture/equipment,2978.0,Medium,Medium,1.0,Male,none,2.0,car,32.0,none,own,1.0,Qualified,1.0,yes,yes,good
166,Low,18.0,,furniture/equipment,1131.0,Very Low,,4.0,Female,none,2.0,car,33.0,none,own,1.0,Qualified,1.0,none,yes,bad
167,Medium,11.0,,furniture/equipment,1577.0,High,Short,4.0,Female,none,1.0,real estate,20.0,none,own,1.0,Qualified,1.0,none,yes,good
168,Unknown,24.0,,furniture/equipment,3972.0,Very Low,Long,2.0,Female,none,4.0,life insurance,25.0,none,rent,1.0,Qualified,1.0,yes,yes,good
169,Medium,24.0,,business,1935.0,Very Low,Very Long,4.0,Male,none,4.0,real estate,31.0,none,own,2.0,Qualified,1.0,yes,yes,bad
170,Low,15.0,no credits,new car,950.0,Very Low,Very Long,4.0,Male,none,3.0,car,33.0,none,rent,2.0,Qualified,2.0,none,yes,bad
171,Unknown,12.0,,furniture/equipment,763.0,Very Low,Medium,4.0,Female,none,1.0,real estate,26.0,none,own,1.0,Qualified,1.0,yes,yes,good
172,Medium,24.0,,furniture/equipment,2064.0,Very Low,,3.0,Female,none,2.0,life insurance,34.0,none,own,1.0,High Qualified,1.0,yes,yes,bad
173,Medium,8.0,,radio/tv,1414.0,Very Low,Medium,4.0,Male,guarantor,2.0,real estate,33.0,none,own,1.0,Qualified,1.0,none,no,good
174,Low,21.0,,education,3414.0,Very Low,Short,2.0,Male,none,1.0,life insurance,26.0,none,own,2.0,Qualified,1.0,none,yes,bad
175,Unknown,30.0,,used car,7485.0,Unknown,,4.0,Female,none,1.0,real estate,53.0,bank,own,1.0,High Qualified,1.0,yes,yes,bad
176,Low,12.0,,furniture/equipment,2577.0,Very Low,Medium,2.0,Male,none,1.0,car,42.0,none,own,1.0,Qualified,1.0,none,yes,good
177,Low,6.0,,radio/tv,338.0,Medium,Very Long,4.0,Male,none,4.0,car,52.0,none,own,2.0,Qualified,1.0,none,yes,good
178,Unknown,12.0,,radio/tv,1963.0,Very Low,Long,4.0,Male,none,2.0,car,31.0,none,rent,2.0,High Qualified,2.0,yes,yes,good
179,Low,21.0,,new car,571.0,Very Low,Very Long,4.0,Male,none,4.0,real estate,65.0,none,own,2.0,Qualified,1.0,none,yes,good
180,Unknown,36.0,,business,9572.0,Very Low,Short,1.0,Male,none,1.0,car,28.0,none,own,2.0,Qualified,1.0,none,yes,bad
181,Medium,36.0,,business,4455.0,Very Low,Medium,2.0,Male,none,2.0,real estate,30.0,stores,own,2.0,High Qualified,1.0,yes,yes,bad
182,Low,21.0,,new car,1647.0,Unknown,Medium,4.0,Male,none,2.0,life insurance,40.0,none,own,2.0,Unqualified,2.0,none,yes,bad
